sectors,year,mask,regions,aogcm
17.0,2067,0.0,3.0,UKESM1-0-LL_ssp585
17.0,2068,0.0,3.0,UKESM1-0-LL_ssp585
17.0,2069,0.0,3.0,UKESM1-0-LL_ssp585
17.0,2070,0.0,3.0,UKESM1-0-LL_ssp585
17.0,2071,0.0,3.0,UKESM1-0-LL_ssp585
17.0,2072,0.0,3.0,UKESM1-0-LL_ssp585
17.0,2073,0.0,3.0,UKESM1-0-LL_ssp585
17.0,2074,0.0,3.0,UKESM1-0-LL_ssp585
17.0,2075,0.0,3.0,UKESM1-0-LL_ssp585
17.0,2076,0.0,3.0,UKESM1-0-LL_ssp585
17.0,2077,0.0,3.0,UKESM1-0-LL_ssp585
17.0,2078,3.0135012e-05,3.0,UKESM1-0-LL_ssp585
17.0,2079,5.022502e-05,3.0,UKESM1-0-LL_ssp585
17.0,2080,5.022502e-05,3.0,UKESM1-0-LL_ssp585
17.0,2081,5.022502e-05,3.0,UKESM1-0-LL_ssp585
17.0,2082,5.022502e-05,3.0,UKESM1-0-LL_ssp585
17.0,2083,9.542754e-05,3.0,UKESM1-0-LL_ssp585
17.0,2084,9.542754e-05,3.0,UKESM1-0-LL_ssp585
17.0,2085,9.542754e-05,3.0,UKESM1-0-LL_ssp585
17.0,2086,9.542754e-05,3.0,UKESM1-0-LL_ssp585
17.0,2087,9.542754e-05,3.0,UKESM1-0-LL_ssp585
17.0,2088,9.542754e-05,3.0,UKESM1-0-LL_ssp585
17.0,2089,0.000105472536,3.0,UKESM1-0-LL_ssp585
17.0,2090,0.00018583257,3.0,UKESM1-0-LL_ssp585
17.0,2091,0.00018583257,3.0,UKESM1-0-LL_ssp585
17.0,2092,0.00018583257,3.0,UKESM1-0-LL_ssp585
17.0,2093,0.00018583257,3.0,UKESM1-0-LL_ssp585
17.0,2094,0.00019587758,3.0,UKESM1-0-LL_ssp585
17.0,2095,0.00023605759,3.0,UKESM1-0-LL_ssp585
17.0,2096,0.00033650763,3.0,UKESM1-0-LL_ssp585
17.0,2097,0.0005826102,3.0,UKESM1-0-LL_ssp585
17.0,2098,0.0006931053,3.0,UKESM1-0-LL_ssp585
17.0,2099,0.0006931053,3.0,UKESM1-0-LL_ssp585
17.0,2100,0.0006931053,3.0,UKESM1-0-LL_ssp585
18.0,1995,0.0,3.0,UKESM1-0-LL_ssp585
18.0,1996,0.0,3.0,UKESM1-0-LL_ssp585
18.0,1997,0.0,3.0,UKESM1-0-LL_ssp585
18.0,1998,0.0,3.0,UKESM1-0-LL_ssp585
18.0,1999,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2000,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2001,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2002,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2003,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2004,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2005,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2006,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2007,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2008,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2009,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2010,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2011,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2012,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2013,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2014,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2015,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2016,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2017,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2018,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2019,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2020,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2021,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2022,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2023,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2024,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2025,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2026,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2027,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2028,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2029,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2030,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2031,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2032,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2033,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2034,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2035,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2036,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2037,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2038,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2039,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2040,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2041,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2042,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2043,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2044,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2045,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2046,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2047,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2048,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2049,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2050,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2051,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2052,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2053,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2054,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2055,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2056,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2057,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2058,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2059,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2060,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2061,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2062,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2063,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2064,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2065,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2066,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2067,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2068,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2069,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2070,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2071,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2072,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2073,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2074,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2075,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2076,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2077,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2078,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2079,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2080,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2081,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2082,0.0,3.0,UKESM1-0-LL_ssp585
18.0,2083,0.00026925153,3.0,UKESM1-0-LL_ssp585
18.0,2084,0.0004711902,3.0,UKESM1-0-LL_ssp585
18.0,2085,0.0004711902,3.0,UKESM1-0-LL_ssp585
18.0,2086,0.0005048466,3.0,UKESM1-0-LL_ssp585
18.0,2087,0.0005048466,3.0,UKESM1-0-LL_ssp585
18.0,2088,0.0005048466,3.0,UKESM1-0-LL_ssp585
18.0,2089,0.0008077546,3.0,UKESM1-0-LL_ssp585
18.0,2090,0.0032983313,3.0,UKESM1-0-LL_ssp585
18.0,2091,0.0032983313,3.0,UKESM1-0-LL_ssp585
18.0,2092,0.0032983313,3.0,UKESM1-0-LL_ssp585
18.0,2093,0.0032983313,3.0,UKESM1-0-LL_ssp585
18.0,2094,0.0032983313,3.0,UKESM1-0-LL_ssp585
18.0,2095,0.0032983313,3.0,UKESM1-0-LL_ssp585
18.0,2096,0.0039714603,3.0,UKESM1-0-LL_ssp585
18.0,2097,0.0065966626,3.0,UKESM1-0-LL_ssp585
18.0,2098,0.0070678527,3.0,UKESM1-0-LL_ssp585
18.0,2099,0.0070678527,3.0,UKESM1-0-LL_ssp585
18.0,2100,0.0070678527,3.0,UKESM1-0-LL_ssp585
1.0,1995,0.0,1.0,ipsl-cm5a-mr8.5
1.0,1996,0.0,1.0,ipsl-cm5a-mr8.5
1.0,1997,0.0,1.0,ipsl-cm5a-mr8.5
1.0,1998,0.0,1.0,ipsl-cm5a-mr8.5
1.0,1999,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2000,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2001,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2002,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2003,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2004,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2005,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2006,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2007,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2008,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2009,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2010,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2011,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2012,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2013,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2014,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2015,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2016,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2017,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2018,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2019,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2020,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2021,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2022,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2023,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2024,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2025,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2026,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2027,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2028,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2029,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2030,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2031,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2032,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2033,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2034,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2035,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2036,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2037,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2038,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2039,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2040,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2041,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2042,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2043,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2044,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2045,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2046,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2047,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2048,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2049,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2050,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2051,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2052,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2053,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2054,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2055,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2056,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2057,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2058,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2059,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2060,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2061,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2062,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2063,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2064,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2065,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2066,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2067,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2068,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2069,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2070,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2071,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2072,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2073,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2074,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2075,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2076,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2077,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2078,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2079,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2080,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2081,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2082,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2083,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2084,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2085,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2086,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2087,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2088,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2089,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2090,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2091,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2092,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2093,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2094,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2095,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2096,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2097,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2098,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2099,0.0,1.0,ipsl-cm5a-mr8.5
1.0,2100,0.0,1.0,ipsl-cm5a-mr8.5
2.0,1995,0.0,1.0,ipsl-cm5a-mr8.5
2.0,1996,0.0,1.0,ipsl-cm5a-mr8.5
2.0,1997,0.0,1.0,ipsl-cm5a-mr8.5
2.0,1998,0.0,1.0,ipsl-cm5a-mr8.5
2.0,1999,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2000,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2001,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2002,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2003,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2004,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2005,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2006,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2007,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2008,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2009,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2010,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2011,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2012,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2013,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2014,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2015,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2016,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2017,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2018,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2019,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2020,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2021,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2022,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2023,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2024,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2025,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2026,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2027,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2028,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2029,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2030,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2031,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2032,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2033,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2034,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2035,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2036,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2037,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2038,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2039,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2040,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2041,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2042,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2043,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2044,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2045,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2046,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2047,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2048,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2049,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2050,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2051,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2052,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2053,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2054,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2055,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2056,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2057,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2058,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2059,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2060,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2061,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2062,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2063,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2064,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2065,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2066,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2067,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2068,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2069,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2070,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2071,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2072,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2073,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2074,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2075,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2076,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2077,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2078,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2079,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2080,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2081,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2082,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2083,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2084,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2085,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2086,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2087,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2088,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2089,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2090,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2091,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2092,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2093,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2094,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2095,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2096,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2097,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2098,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2099,0.0,1.0,ipsl-cm5a-mr8.5
2.0,2100,0.0,1.0,ipsl-cm5a-mr8.5
3.0,1995,0.0,1.0,ipsl-cm5a-mr8.5
3.0,1996,0.0,1.0,ipsl-cm5a-mr8.5
3.0,1997,0.0,1.0,ipsl-cm5a-mr8.5
3.0,1998,0.0,1.0,ipsl-cm5a-mr8.5
3.0,1999,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2000,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2001,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2002,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2003,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2004,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2005,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2006,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2007,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2008,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2009,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2010,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2011,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2012,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2013,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2014,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2015,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2016,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2017,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2018,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2019,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2020,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2021,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2022,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2023,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2024,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2025,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2026,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2027,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2028,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2029,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2030,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2031,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2032,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2033,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2034,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2035,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2036,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2037,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2038,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2039,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2040,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2041,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2042,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2043,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2044,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2045,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2046,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2047,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2048,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2049,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2050,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2051,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2052,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2053,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2054,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2055,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2056,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2057,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2058,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2059,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2060,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2061,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2062,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2063,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2064,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2065,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2066,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2067,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2068,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2069,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2070,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2071,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2072,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2073,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2074,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2075,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2076,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2077,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2078,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2079,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2080,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2081,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2082,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2083,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2084,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2085,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2086,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2087,0.0,1.0,ipsl-cm5a-mr8.5
3.0,2088,0.0,1.0,ipsl-cm5a-mr8.5
